Wall time,Step,Value
1716223168.9473014,1200,-29.701053619384766
1716223252.395958,2400,-26.01264762878418
1716223308.3588686,3200,-27.23508071899414
1716223363.2444022,3800,-25.064424514770508
1716223446.14547,5000,-26.32602882385254
1716223626.4519475,7400,-25.756059646606445
1716223682.0837421,8200,-26.515518188476562
1716223709.6991699,8600,-29.503469467163086
1716223737.9377,9000,-29.826038360595703
1716223751.86859,9200,-27.054061889648438
1716223779.7421296,9600,-24.893512725830078
1716223875.4549308,10800,-29.627458572387695
1716223889.1426191,11000,-27.516202926635742
1716223902.98055,11200,-28.3903751373291
1716223916.879286,11400,-26.814285278320312
1716224055.1667037,13200,-28.602476119995117
1716224097.068,13800,-29.04033660888672
1716224138.9686253,14400,-27.52079200744629
1716224152.8203585,14600,-25.570945739746094
1716224166.6311536,14800,-30.426721572875977
1716224180.6795232,15000,-29.0902156829834
1716224250.5050833,16000,-28.617870330810547
1716224374.243333,17600,-29.1732120513916
1716224471.5588944,19000,-26.95098304748535
1716224595.038589,20600,-29.32393455505371
1716224637.4197178,21200,-26.38717269897461
1716224651.5157812,21400,-29.65126609802246
1716224761.7375317,22800,-28.20148468017578
1716224831.5881813,23800,-29.579792022705078
1716224943.4198754,25400,-26.777252197265625
1716224997.97506,26000,-28.518829345703125
1716225012.0355601,26200,-27.577674865722656
1716225138.3888469,28000,-29.3649959564209
1716225166.2608263,28400,-28.33106231689453
1716225180.1912603,28600,-30.956218719482422
1716225194.2616718,28800,-30.80353355407715
1716225305.4320576,30200,-27.987184524536133
1716225375.6685507,31200,-29.158464431762695
1716225403.8450747,31600,-25.617494583129883
1716225418.0965784,31800,-31.10854148864746
1716225486.4574323,32600,-28.04874610900879
1716225556.8377283,33600,-28.490768432617188
1716225571.096463,33800,-29.111412048339844
1716225612.75125,34400,-31.04581069946289
1716225709.0226243,35600,-30.086389541625977
1716225722.8459618,35800,-27.225008010864258
1716225750.902533,36200,-30.448640823364258
1716225793.1478002,36800,-31.819122314453125
1716225821.2382054,37200,-27.10305404663086
1716225835.3548987,37400,-27.85110092163086
1716225862.8799222,37800,-30.835596084594727
1716225891.120723,38200,-30.405412673950195
1716225904.9909241,38400,-29.594472885131836
1716226015.2666037,39800,-33.07605743408203
1716226127.2516568,41400,-29.981998443603516
1716226141.1151917,41600,-29.48134994506836
1716226167.7899828,41800,-28.38144302368164
1716226223.7439468,42600,-27.667503356933594
1716226363.9021378,44600,-30.41908073425293
1716226377.86483,44800,-31.84625244140625
1716226418.4193914,45200,-31.28853416442871
1716226473.9235678,46000,-31.717430114746094
1716226515.545688,46600,-30.312530517578125
1716226529.9324367,46800,-29.552696228027344
1716226543.7833755,47000,-29.837913513183594
1716226586.1714573,47600,-32.704017639160156
1716226766.070968,50000,-27.90235137939453
1716226849.6433396,51200,-31.575428009033203
1716226904.1470857,51800,-31.4962215423584
